arm	selector	top_t	k	split	loss	ckpt	wandb_url
X32	mass_x_redundancy	32	8	MT	2.400250196456909	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6uo7gq4v
X32	mass_x_redundancy	32	10	QA	1.927855134010315	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/vxpbkdhx
X32	mass_x_redundancy	32	10	MT	2.4177634716033936	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1kng5ff4
X32	mass_x_redundancy	32	12	QA	2.011167287826538	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/xw90qh4b
X32	mass_x_redundancy	32	12	MT	2.458908796310425	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/7pb7uqjd
X32	mass_x_redundancy	32	16	QA	2.021061420440674	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/00b6722x
X32	mass_x_redundancy	32	16	MT	2.378934144973755	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/kgr1o55g
F32	fisher	32	8	QA	1.8708709478378296	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/djibxi6x
F32	fisher	32	8	MT	2.8435041904449463	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/kw35o6eu
F32	fisher	32	10	QA	1.869925856590271	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ro1woyjg
F32	fisher	32	10	MT	2.8175313472747803	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/j22a6w8b
F32	fisher	32	12	QA	1.8641104698181152	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/g4apv54s
F32	fisher	32	12	MT	2.7299869060516357	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/o8nc4h3l
F32	fisher	32	16	QA	1.8763563632965088	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/o2pz972d
F32	fisher	32	16	MT	2.669186592102051	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-58-34-continual_am_sparse/5db1006a-2c9a-475e-9198-a512f59206d2/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/92o9hqog
