k	split	loss	ckpt	wandb_url
7	MT	2.8085434436798096	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-006-b03a4aa0.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/8pjkowvr
9	QA	2.1467227935791016	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-008-6f413175.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/c1n4it6n
9	MT	2.7055881023406982	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-008-6f413175.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/u36xhzfn
10	QA	2.041499137878418	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/kn9fupl7
10	MT	2.533163070678711	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/nnkbo7q0
11	QA	2.062858819961548	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-010-aba1a026.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/t2131nwc
11	MT	2.486443519592285	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-010-aba1a026.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/tagbudhc
13	QA	2.0239388942718506	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-012-01bdc15a.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/y3x938to
13	MT	2.4487619400024414	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-012-01bdc15a.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/thjt0u63
14	QA	2.0390379428863525	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-013-152f42ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/pi6n40t4
