arm	top_t	nq	dw	k	split	loss	ckpt	ckpt_sha256	wandb_url
B_t256q1024	256	1024	1e-2	10	MT	2.443406343460083	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-009-f77cecfb.pt	216353581c71801b	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ld0p0d4w
B_t256q1024	256	1024	1e-2	12	QA	2.5487892627716064	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-011-cfcb19a9.pt	10cd51111c732ce3	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3ypz96ai
B_t256q1024	256	1024	1e-2	12	MT	2.4240188598632812	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-011-cfcb19a9.pt	10cd51111c732ce3	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/vtm47ajt
B_t256q1024	256	1024	1e-2	16	QA	2.5826616287231445	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-015-af07b880.pt	24c79f8323af08f9	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/zwqbp1ix
B_t256q1024	256	1024	1e-2	16	MT	2.4864604473114014	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-015-af07b880.pt	24c79f8323af08f9	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/a5cxc4wi
D_t128q512dw	128	512	8e-2	8	QA	2.28494930267334	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-007-e1a7f420.pt	0bb669972b00aa0a	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/wv57risb
D_t128q512dw	128	512	8e-2	8	MT	2.3594725131988525	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-007-e1a7f420.pt	0bb669972b00aa0a	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/q6t1bwyy
D_t128q512dw	128	512	8e-2	10	QA	2.3233823776245117	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-009-f77cecfb.pt	b8099e83de7dfa1e	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9o0qy0yy
D_t128q512dw	128	512	8e-2	10	MT	2.3696529865264893	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-009-f77cecfb.pt	b8099e83de7dfa1e	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4qv7gqko
D_t128q512dw	128	512	8e-2	12	QA	2.471919059753418	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-011-cfcb19a9.pt	a3bef1d1b7f1a57f	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ghjrxt5z
D_t128q512dw	128	512	8e-2	12	MT	2.4836010932922363	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-011-cfcb19a9.pt	a3bef1d1b7f1a57f	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/4wiy9pju
D_t128q512dw	128	512	8e-2	16	QA	2.4432454109191895	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-015-af07b880.pt	4f62ebce9bbbf03e	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/xvrjmkny
D_t128q512dw	128	512	8e-2	16	MT	2.4685170650482178	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-39-51-continual_am_sparse/36565688-f8ac-4567-9daa-aeedb2cd4a4a/cache-after-doc-015-af07b880.pt	4f62ebce9bbbf03e	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/5vjk23d9
