ckpt_tag	subset	loss	ckpt	wandb_url
PH1	doc000	2.9679129123687744	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/toe5usnf
PH1	doc009	3.971012592315674	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/mxtlua74
PH1	doc011	4.618667125701904	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/197oy1te
PH1	doc013	3.57560658454895	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/f7t3hhn1
PH1	doc015	4.2891106605529785	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/x7u48wwv
PH1	union5	3.9701015949249268	/localhome/local-triv/gated-continual-cartridges_explore/outputs/phase1_selfdistill_qwen512/cache_last.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/f84dwwwj
K16A	doc000	2.03598952293396	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/0mew1tuc
K12A	doc000	1.8849869966506958	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/u5jyr3z2
K16A	doc009	2.7806174755096436	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/qot6ft9r
K12A	doc009	2.6344592571258545	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/g9xvs987
K16A	doc011	3.050403356552124	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/kl2qu72y
K12A	doc011	2.8776543140411377	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/98995wxs
